#Source = https://coinmarketcap.com/all/views/all/,Retrieved: 21/10/20,,,,,,,,,,
Rank,Name,Symbol,Market Cap,Markey Cap (cleaned),Price,Circulating Supply,Circulating (cleaned),Volume (24h),% 1h,% 24h,% 7d
493,Dimension Chain,EON,"$9,903,059 ",9903059,$0.04 ,"244,783,561 EON *",244783561,$?,0.01%,0.07%,-0.95%
494,pNetwork,PNT,"$9,857,941 ",9857941,$0.40 ,"24,513,973 PNT *",24513973,"$1,405,671 ",0.88%,-1.15%,-3.26%
495,AAX Token,AAB,"$9,833,909 ",9833909,$0.38 ,"26,000,005 AAB *",26000005,"$4,285,993 ",0.01%,0.57%,-2.92%
496,SALT,SALT,"$9,811,769 ",9811769,$0.12 ,"80,283,620 SALT *",80283620,"$43,190 ",0.35%,-17.89%,-37.87%
497,DiFy.Finance,YFIII,"$9,666,561 ",9666561,"$1,208.51 ","7,999 YFIII *",7999,"$1,473,323 ",-2.93%,-15.55%,-13.53%
498,BitForex Token,BF,"$9,304,801 ",9304801,$0.00 ,"4,255,695,965 BF *",4255695965,"$594,044 ",1.30%,-0.63%,-3.41%
499,Metadium,META,"$9,627,344 ",9627344,$0.01 ,"1,245,430,304 META *",1245430304,"$299,498 ",-1.11%,-3.08%,-8.08%
500,Darwinia Network,RING,"$9,708,853 ",9708853,$0.03 ,"309,771,175 RING *",309771175,"$1,555,707 ",1.55%,-3.94%,-15.84%
501,Anchor Neural World,ANW,"$9,613,271 ",9613271,$0.15 ,"65,135,983 ANW *",65135983,"$639,051 ",1.94%,-5.07%,-0.02%
502,Morpheus.Network,MRPH,"$9,610,441 ",9610441,$0.20 ,"47,178,310 MRPH *",47178310,"$540,834 ",1.68%,0.66%,5.99%
503,dForce,DF,"$9,599,001 ",9599001,$0.12 ,"83,053,500 DF *",83053500,"$1,391,319 ",-0.20%,-5.70%,-28.65%
504,Sentivate,SNTVT,"$9,456,741 ",9456741,$0.00 ,"2,858,034,818 SNTVT *",2858034818,"$315,703 ",0.51%,-33.87%,-36.84%
505,Nxt,NXT,"$9,522,502 ",9522502,$0.01 ,"998,999,942 NXT *",998999942,"$472,676 ",0.66%,-0.61%,5.59%
506,Skycoin,SKY,"$9,513,313 ",9513313,$0.50 ,"19,000,000 SKY *",19000000,"$340,686 ",0.00%,0.74%,4.44%
507,Multi Channel Influencer Creater Cloud Funding Platform,MCI,"$9,377,936 ",9377936,$0.02 ,"411,396,607 MCI *",411396607,"$3,130,615 ",-2.96%,14.14%,23.19%
508,PARSIQ,PRQ,"$9,490,410 ",9490410,$0.09 ,"111,174,223 PRQ *",111174223,"$75,605 ",2.03%,6.44%,-19.22%
509,ProximaX,XPX,"$9,448,923 ",9448923,$0.00 ,"6,097,456,550 XPX *",6097456550,"$226,754 ",1.88%,3.25%,35.54%
510,IQeon,IQN,"$9,432,202 ",9432202,$1.72 ,"5,491,860 IQN *",5491860,"$273,557 ",-0.25%,-0.17%,-0.74%
511,Carry,CRE,"$9,579,694 ",9579694,$0.00 ,"5,799,469,081 CRE *",5799469081,"$475,229 ",0.35%,-0.70%,-7.80%
512,LinkEye,LET,"$9,396,121 ",9396121,$0.01 ,"829,999,000 LET *",829999000,"$1,461,402 ",-0.73%,-0.27%,-17.65%
513,Props Token,PROPS,"$9,256,310 ",9256310,$0.05 ,"200,397,116 PROPS *",200397116,"$44,320 ",3.05%,4.72%,2.39%
514,Alchemy Pay,ACH,"$9,240,381 ",9240381,$0.01 ,"917,281,168 ACH *",917281168,"$3,931,924 ",-2.64%,-14.14%,-23.66%
515,Dune Network,DUN,"$9,219,321 ",9219321,$0.02 ,"387,533,520 DUN *",387533520,"$16,036 ",2.81%,10.26%,4.41%
516,FIO Protocol,FIO,"$9,148,246 ",9148246,$0.10 ,"90,017,353 FIO *",90017353,"$1,150,491 ",0.34%,-1.27%,-1.50%
517,The Force Protocol,FOR,"$9,108,378 ",9108378,$0.03 ,"311,488,081 FOR *",311488081,"$1,183,359 ",0.96%,-3.59%,-18.95%
518,Atomic Wallet Coin,AWC,"$8,926,519 ",8926519,$0.84 ,"10,603,659 AWC *",10603659,"$142,496 ",-4.44%,-6.17%,11.55%
519,PAC Global,PAC,"$9,051,191 ",9051191,$0.00 ,"12,512,908,623 PAC",12512908623,"$4,199 ",17.26%,15.13%,-9.36%
520,Content Value Network,CVNT,"$9,319,309 ",9319309,$0.01 ,"925,000,000 CVNT *",925000000,"$677,450 ",3.85%,5.38%,114.94%
521,NavCoin,NAV,"$8,981,715 ",8981715,$0.13 ,"69,989,167 NAV *",69989167,"$134,877 ",0.90%,-0.73%,-3.65%
522,dKargo,DKA,"$8,938,594 ",8938594,$0.03 ,"303,373,350 DKA *",303373350,"$443,140 ",1.94%,1.18%,-7.54%
523,Santiment Network Token,SAN,"$8,928,899 ",8928899,$0.14 ,"63,057,371 SAN *",63057371,"$4,944 ",0.53%,3.36%,3.30%
524,Nexalt,XLT,"$8,925,405 ",8925405,$0.55 ,"16,103,792 XLT *",16103792,"$116,093 ",1.05%,2.38%,3.99%
525,Nestree,EGG,"$8,886,388 ",8886388,$0.01 ,"1,096,189,181 EGG *",1096189181,"$962,023 ",-0.42%,-1.92%,-7.05%
526,YAM v1,YAM,"$8,891,123 ",8891123,$0.31 ,"28,619,369 YAM *",28619369,$?,2.06%,-0.10%,-50.55%
527,Sentinel Protocol,UPP,"$8,843,999 ",8843999,$0.02 ,"417,137,682 UPP *",417137682,"$223,226 ",1.29%,-0.51%,1.78%
528,Quark,QRK,"$8,823,975 ",8823975,$0.03 ,"266,893,286 QRK",266893286,"$1,253 ",4.94%,4.19%,7.11%
529,Minter Network,BIP,"$8,642,541 ",8642541,$0.00 ,"2,845,512,929 BIP *",2845512929,"$68,583 ",2.02%,11.04%,-4.84%
530,TE-FOOD,TFD,"$8,739,594 ",8739594,$0.02 ,"527,631,952 TFD *",527631952,"$6,968 ",1.90%,-3.90%,-8.71%
531,Maro,MARO,"$8,728,380 ",8728380,$0.02 ,"449,800,967 MARO *",449800967,"$125,361 ",0.07%,-1.65%,-8.60%
532,Telcoin,TEL,"$8,724,393 ",8724393,$0.00 ,"47,245,810,799 TEL *",47245810799,"$42,372 ",2.28%,-1.74%,-8.39%
533,Nuco.cloud,NCDT,"$8,693,936 ",8693936,$1.34 ,"6,497,606 NCDT *",6497606,"$49,885 ",1.66%,2.23%,1.42%
534,PlatonCoin,PLTC,"$8,670,941 ",8670941,$0.35 ,"24,979,402 PLTC *",24979402,"$316,468 ",0.25%,1.54%,20.18%
535,YEP COIN,YEP,"$8,553,386 ",8553386,$2.72 ,"3,147,695 YEP *",3147695,"$2,633 ",0.74%,1.95%,3.36%
536,VNX Exchange,VNXLU,"$8,355,820 ",8355820,$0.30 ,"28,104,700 VNXLU *",28104700,"$170,627 ",2.38%,4.75%,5.76%
537,KEY,KEY,"$8,518,316 ",8518316,$0.00 ,"3,353,937,381 KEY *",3353937381,"$10,521,418 ",-6.05%,0.13%,31.41%
538,AppCoins,APPC,"$8,507,687 ",8507687,$0.03 ,"246,203,092 APPC *",246203092,"$192,174 ",0.01%,4.65%,1.82%
539,Metronome,MET,"$8,480,342 ",8480342,$0.77 ,"11,016,679 MET *",11016679,"$291,613 ",0.75%,0.66%,1.50%
540,VITE,VITE,"$8,481,904 ",8481904,$0.02 ,"472,166,705 VITE *",472166705,"$488,966 ",1.97%,-1.61%,-0.28%
541,Dinastycoin,DCY,"$8,356,893 ",8356893,$0.00 ,"1,982,829,622 DCY",1982829622,"$9,316 ",1.85%,8.34%,18.76%
542,High Performance Blockchain,HPB,"$8,294,327 ",8294327,$0.11 ,"73,069,950 HPB *",73069950,"$232,337 ",-0.25%,5.89%,4.40%
543,FIBOS,FO,"$8,271,318 ",8271318,$0.01 ,"1,061,473,270 FO",1061473270,"$475,348 ",-0.42%,-0.28%,-0.18%
544,Raiden Network Token,RDN,"$8,277,305 ",8277305,$0.16 ,"50,910,504 RDN *",50910504,"$980,100 ",-0.12%,-10.24%,-20.32%
545,CWV Chain,CWV,"$8,246,508 ",8246508,$0.00 ,"3,540,912,311 CWV *",3540912311,"$19,565 ",1.38%,1.51%,0.54%
546,smARTOFGIVING,AOG,"$8,238,804 ",8238804,$0.11 ,"73,780,484 AOG *",73780484,"$191,906 ",-0.30%,1.66%,-0.71%
547,Blocknet,BLOCK,"$8,142,308 ",8142308,$1.13 ,"7,200,496 BLOCK *",7200496,"$15,112 ",7.04%,10.27%,3.90%
548,Ivy,IVY,"$8,112,032 ",8112032,$0.01 ,"915,021,072 IVY *",915021072,$79 ,2.06%,-5.36%,0.19%
549,Streamity,STM,"$7,993,502 ",7993502,$0.22 ,"35,987,749 STM *",35987749,$?,0.03%,0.08%,0.06%
550,TenX,PAY,"$7,961,841 ",7961841,$0.05 ,"146,424,140 PAY *",146424140,"$10,223,194 ",3.05%,4.09%,0.79%
551,PieDAO DOUGH v2,DOUGH,"$7,866,362 ",7866362,$1.71 ,"4,610,968 DOUGH *",4610968,$?,1.26%,-0.61%,-1.83%
552,Observer,OBSR,"$7,817,098 ",7817098,$0.00 ,"2,296,917,316 OBSR",2296917316,"$58,491 ",1.52%,0.57%,1.29%
553,EveryCoin ,EVY,"$7,816,146 ",7816146,$0.00 ,"9,380,000,000 EVY *",9380000000,"$850,607 ",1.14%,-21.73%,-35.56%
554,Insolar,XNS,"$7,810,432 ",7810432,$0.08 ,"100,000,000 XNS *",100000000,"$386,783 ",2.60%,-12.23%,-53.95%
555,Wagerr,WGR,"$7,802,407 ",7802407,$0.04 ,"195,408,822 WGR *",195408822,"$2,301 ",1.88%,0.26%,18.10%
556,8X8 PROTOCOL,EXE,"$7,703,443 ",7703443,$0.02 ,"310,000,000 EXE *",310000000,"$3,338,418 ",6.46%,54.84%,-59.51%
557,#MetaHash,MHC,"$7,712,837 ",7712837,$0.00 ,"2,150,636,638 MHC *",2150636638,"$1,578,399 ",-2.80%,2.76%,2.50%
558,FarmaTrust,FTT,"$7,685,665 ",7685665,$0.01 ,"600,000,000 FTT *",600000000,$35 ,1.83%,4.18%,1.86%
559,IoT Chain,ITC,"$7,627,390 ",7627390,$0.09 ,"87,214,657 ITC *",87214657,"$901,660 ",-7.10%,-14.58%,-16.11%
560,VideoCoin,VID,"$7,617,382 ",7617382,$0.05 ,"145,923,028 VID *",145923028,"$122,827 ",-0.18%,-2.18%,-28.25%
561,Measurable Data Token,MDT,"$7,583,906 ",7583906,$0.01 ,"657,790,346 MDT *",657790346,"$843,095 ",-0.64%,4.92%,-10.40%
562,DMarket,DMT,"$7,539,447 ",7539447,$0.13 ,"56,921,773 DMT *",56921773,"$135,937 ",-1.18%,-3.98%,-12.37%
563,Safe,SAFE,"$4,903,773 ",4903773,$0.24 ,"20,835,499 SAFE *",20835499,"$55,166 ",-11.22%,51.21%,-35.94%
564,DigitalNote,XDN,"$7,491,167 ",7491167,$0.00 ,"4,868,061,606 XDN",4868061606,"$76,384 ",-1.19%,1.09%,45.64%
565,Peculium,PCL,"$7,470,573 ",7470573,$0.00 ,"2,039,325,377 PCL *",2039325377,$?,1.95%,1.92%,91.26%
566,LCX,LCX,"$7,226,333 ",7226333,$0.01 ,"541,850,827 LCX *",541850827,"$2,040,218 ",2.38%,-8.05%,-4.59%
567,Bread,BRD,"$7,397,254 ",7397254,$0.08 ,"88,733,978 BRD *",88733978,"$852,279 ",-0.05%,6.27%,6.91%
568,Unitrade,TRADE,"$7,244,786 ",7244786,$0.30 ,"24,497,950 TRADE *",24497950,"$496,629 ",0.21%,-7.15%,5.92%
569,ROOBEE,ROOBEE,"$7,340,379 ",7340379,$0.00 ,"2,037,352,748 ROOBEE *",2037352748,"$768,005 ",1.22%,3.73%,13.34%
570,Arcblock,ABT,"$7,376,570 ",7376570,$0.07 ,"98,554,305 ABT *",98554305,"$3,959,508 ",4.29%,-4.57%,-15.53%
571,Moeda Loyalty Points,MDA,"$7,335,770 ",7335770,$0.37 ,"19,628,888 MDA *",19628888,"$2,368,026 ",2.42%,6.57%,45.83%
572,Tael,WABI,"$7,313,359 ",7313359,$0.08 ,"88,699,999 WABI *",88699999,"$1,023,135 ",1.08%,-8.87%,-11.76%
573,FOAM,FOAM,"$7,291,153 ",7291153,$0.02 ,"300,837,601 FOAM *",300837601,"$36,480 ",1.52%,-21.14%,-26.33%
574,Dynamic,DYN,"$7,288,048 ",7288048,$0.48 ,"15,137,132 DYN",15137132,"$7,408 ",-5.20%,15.43%,-15.21%
575,FLETA,FLETA,"$7,286,175 ",7286175,$0.01 ,"1,062,031,393 FLETA *",1062031393,"$1,291,337 ",1.07%,-1.97%,-6.84%
576,PANTHEON X,XPN,"$7,369,694 ",7369694,$0.06 ,"125,315,945 XPN *",125315945,"$1,696,787 ",0.00%,-1.42%,19.42%
577,Tokenomy,TEN,"$7,257,682 ",7257682,$0.04 ,"200,000,000 TEN *",200000000,"$692,868 ",1.62%,-12.72%,-23.61%
578,Safe Haven,SHA,"$7,228,837 ",7228837,$0.00 ,"3,005,855,396 SHA *",3005855396,"$468,929 ",0.34%,-7.59%,-14.00%
579,Meme,MEME,"$7,259,325 ",7259325,$259.26 ,"28,000 MEME *",28000,"$12,572,293 ",-10.46%,-23.19%,-47.60%
580,ZEON,ZEON,"$7,230,985 ",7230985,$0.00 ,"29,239,906,267 ZEON *",29239906267,"$82,158 ",-7.14%,10.31%,-3.29%
581,Spendcoin,SPND,"$7,215,994 ",7215994,$0.00 ,"2,275,120,296 SPND *",2275120296,"$800,391 ",0.00%,0.25%,-7.77%
582,Gifto,GTO,"$7,153,032 ",7153032,$0.01 ,"770,236,879 GTO *",770236879,"$3,880,641 ",-0.55%,-8.36%,-10.38%
583,Achain,ACT,"$7,155,219 ",7155219,$0.01 ,"973,999,998 ACT *",973999998,"$2,969,898 ",0.12%,-2.99%,-12.40%
584,Keep Network,KEEP,"$7,126,232 ",7126232,$0.51 ,"13,927,481 KEEP *",13927481,"$581,829 ",0.17%,-7.91%,-25.91%
585,HYCON,HYC,"$7,124,297 ",7124297,$0.00 ,"2,298,800,418 HYC",2298800418,"$970,109 ",0.89%,-2.98%,-1.27%
586,PCHAIN,PI,"$7,122,115 ",7122115,$0.01 ,"813,603,527 PI *",813603527,"$20,618 ",2.43%,6.38%,-11.91%
587,Leverj,LEV,"$7,098,223 ",7098223,$0.06 ,"118,090,511 LEV *",118090511,"$32,160 ",1.26%,10.99%,-2.94%
588,Newton,NEW,"$7,137,105 ",7137105,$0.00 ,"20,571,994,592 NEW",20571994592,"$930,755 ",0.81%,-8.53%,-20.58%
589,PowerPool,CVP,"$7,122,207 ",7122207,$1.42 ,"5,000,000 CVP *",5000000,"$9,253,087 ",3.72%,-13.28%,-24.48%
590,Ferrum Network,FRM,"$6,939,181 ",6939181,$0.05 ,"140,562,627 FRM *",140562627,"$590,038 ",5.77%,-7.76%,17.16%
591,Time New Bank,TNB,"$7,016,589 ",7016589,$0.00 ,"3,634,727,418 TNB *",3634727418,"$378,145 ",0.25%,-0.27%,-6.77%
592,ILCOIN,ILC,"$6,944,033 ",6944033,$0.01 ,"567,402,487 ILC",567402487,"$160,483 ",0.84%,1.00%,4.80%
593,GHOSTPRISM,GHOST,"$6,927,899 ",6927899,$2.39 ,"2,899,641 GHOST *",2899641,"$193,054 ",1.79%,4.15%,-7.58%
594,Valor Token,VALOR,"$6,924,693 ",6924693,$0.35 ,"20,036,000 VALOR *",20036000,"$85,731 ",0.15%,1.18%,-3.05%
595,Effect.AI,EFX,"$6,952,452 ",6952452,$0.03 ,"252,168,527 EFX *",252168527,"$85,649 ",-2.80%,-12.91%,1.66%
596,GoChain,GO,"$6,867,917 ",6867917,$0.01 ,"1,042,459,940 GO *",1042459940,"$229,494 ",-0.47%,-11.77%,-21.49%
597,Sparkpoint,SRK,"$6,849,026 ",6849026,$0.00 ,"6,399,004,625 SRK *",6399004625,"$114,759 ",0.79%,-1.77%,-9.95%
598,MIR COIN,MIR,"$6,756,198 ",6756198,$0.01 ,"780,627,481 MIR",780627481,"$299,050 ",-1.45%,-10.94%,1.59%
599,OST,OST,"$6,810,211 ",6810211,$0.01 ,"764,165,269 OST *",764165269,"$680,549 ",1.06%,-5.08%,-12.07%
600,Nexxo,NEXXO,"$6,828,038 ",6828038,$0.03 ,"214,654,884 NEXXO *",214654884,"$323,865 ",4.38%,8.17%,9.84%
601,Universa,UTNP,"$6,781,980 ",6781980,$0.00 ,"3,157,976,430 UTNP *",3157976430,"$63,406 ",0.62%,5.58%,21.74%
602,Diamond Platform Token,DPT,"$6,714,554 ",6714554,$3.90 ,"1,722,890 DPT *",1722890,"$3,500 ",0.36%,2.46%,-0.23%
603,Orient Walt,HTDF,"$6,685,542 ",6685542,$0.07 ,"95,999,962 HTDF *",95999962,"$1,672,628 ",0.88%,4.78%,5.58%
604,PumaPay,PMA,"$6,621,509 ",6621509,$0.00 ,"26,476,422,231 PMA *",26476422231,"$434,048 ",1.32%,-13.23%,-24.65%
605,Neblio,NEBL,"$6,578,315 ",6578315,$0.40 ,"16,508,275 NEBL *",16508275,"$48,471 ",0.30%,-1.28%,-8.85%
606,OAX,OAX,"$6,566,600 ",6566600,$0.09 ,"75,071,494 OAX *",75071494,"$1,522,495 ",-6.87%,29.11%,33.92%
607,Dawn Protocol,DAWN,"$6,563,393 ",6563393,$0.14 ,"45,381,257 DAWN *",45381257,"$389,765 ",0.06%,0.98%,-16.64%
608,Propy,PRO,"$6,530,218 ",6530218,$0.09 ,"70,100,406 PRO *",70100406,"$142,845 ",1.90%,-0.33%,-3.49%
609,Aleph.im,ALEPH,"$6,518,118 ",6518118,$0.11 ,"56,995,243 ALEPH *",56995243,"$221,870 ",0.06%,-0.16%,-12.64%
610,EDC Blockchain [old],EDC,"$6,516,338 ",6516338,$0.00 ,"2,670,646,025 EDC",2670646025,$?,1.84%,4.19%,6.71%
611,RMPL,RMPL,"$6,492,956 ",6492956,$1.74 ,"3,727,956 RMPL *",3727956,$?,1.26%,-0.61%,-1.82%
612,CyberMiles,CMT,"$6,503,286 ",6503286,$0.01 ,"800,000,000 CMT *",800000000,"$1,452,561 ",1.91%,-3.30%,-15.30%
613,TOP,TOP,"$6,566,897 ",6566897,$0.00 ,"5,119,429,434 TOP *",5119429434,"$332,454 ",1.12%,-1.34%,-3.43%
614,Safex Token,SFT,"$6,473,848 ",6473848,$0.00 ,"1,885,974,016 SFT *",1885974016,$235 ,1.83%,1.25%,3.08%
615,DOS Network,DOS,"$6,354,987 ",6354987,$0.05 ,"135,939,017 DOS *",135939017,"$734,456 ",2.76%,-9.36%,-24.99%
616,Namecoin,NMC,"$6,367,235 ",6367235,$0.43 ,"14,736,400 NMC",14736400,$50 ,0.08%,5.07%,0.98%
617,BnkToTheFuture,BFT,"$6,370,751 ",6370751,$0.01 ,"729,989,999 BFT *",729989999,"$290,413 ",-1.73%,5.48%,8.31%
618,Cartesi,CTSI,"$6,335,267 ",6335267,$0.03 ,"198,403,548 CTSI *",198403548,"$1,182,598 ",0.54%,-4.68%,-19.81%
619,Endor Protocol,EDR,"$6,314,860 ",6314860,$0.00 ,"1,457,282,180 EDR *",1457282180,"$142,305 ",-0.72%,0.38%,-1.40%
620,Aeon,AEON,"$6,170,532 ",6170532,$0.39 ,"15,831,459 AEON",15831459,"$2,218 ",0.95%,4.77%,-3.87%
621,Bitcoin Rhodium,XRC,"$6,169,321 ",6169321,$5.04 ,"1,223,850 XRC",1223850,"$13,015 ",1.85%,7.81%,18.89%
622,OTOCASH,OTO,"$6,154,751 ",6154751,$0.29 ,"21,315,864 OTO",21315864,$127 ,0.01%,0.00%,2.34%
623,STATERA,STA,"$6,175,478 ",6175478,$0.07 ,"85,867,051 STA *",85867051,"$265,691 ",1.65%,0.14%,-15.47%
624,Peercoin,PPC,"$6,078,645 ",6078645,$0.23 ,"26,561,894 PPC",26561894,"$20,510 ",1.70%,3.70%,4.99%
625,Moss Coin,MOC,"$5,995,297 ",5995297,$0.02 ,"367,194,689 MOC *",367194689,"$81,857 ",-2.55%,-0.50%,-9.72%
626,Ubiq,UBQ,"$5,986,502 ",5986502,$0.14 ,"42,609,099 UBQ",42609099,"$11,212 ",1.40%,-7.96%,-19.41%
627,Digix Gold Token,DGX,"$5,986,141 ",5986141,$61.72 ,"96,990 DGX *",96990,"$12,431 ",0.61%,2.09%,1.84%
628,XYO,XYO,"$5,966,393 ",5966393,$0.00 ,"12,844,821,266 XYO *",12844821266,"$44,624 ",2.47%,0.14%,1.91%
629,Covesting,COV,"$5,917,805 ",5917805,$0.33 ,"18,000,000 COV *",18000000,"$20,429 ",-0.97%,-3.45%,33.16%
630,LockTrip,LOC,"$5,971,456 ",5971456,$0.40 ,"14,952,163 LOC *",14952163,"$1,392 ",1.74%,6.19%,-5.22%
631,Bezant,BZNT,"$5,861,165 ",5861165,$0.01 ,"878,299,993 BZNT *",878299993,"$80,780 ",0.42%,-5.88%,-9.08%
632,Clams,CLAM,"$5,838,937 ",5838937,$1.34 ,"4,367,623 CLAM *",4367623,$0.00 ,1.84%,5.38%,-21.09%
633,Steem Dollars,SBD,"$5,794,441 ",5794441,$1.00 ,"5,785,879 SBD *",5785879,"$12,911 ",0.59%,0.18%,0.55%
634,BackPacker Coin,BPC,"$5,739,874 ",5739874,$1.07 ,"5,355,540 BPC *",5355540,"$2,679 ",1.84%,2.85%,5.33%
635,Everex,EVX,"$5,715,362 ",5715362,$0.25 ,"22,700,000 EVX *",22700000,"$337,400 ",-1.80%,-4.05%,-3.47%
636,Emirex Token,EMRX,"$5,716,697 ",5716697,$0.21 ,"27,008,735 EMRX *",27008735,"$383,167 ",6.15%,28.39%,-47.56%
637,Sapphire,SAPP,"$5,707,448 ",5707448,$0.02 ,"327,838,737 SAPP *",327838737,"$28,389 ",0.89%,-1.52%,8.24%
638,1SG,1SG,"$5,700,373 ",5700373,$2.56 ,"2,226,069 1SG *",2226069,$?,1.86%,3.26%,4.98%
639,REVV,REVV,"$5,678,044 ",5678044,$0.02 ,"241,450,316 REVV *",241450316,"$754,923 ",10.21%,17.71%,5.28%
640,NAGA,NGC,"$5,675,069 ",5675069,$0.08 ,"71,960,165 NGC *",71960165,"$2,746 ",1.14%,19.73%,21.09%
641,AEN Smart Token,AENS,"$5,653,045 ",5653045,$0.01 ,"699,020,011 AENS *",699020011,"$31,119 ",0.86%,3.28%,-9.26%
642,Dock,DOCK,"$5,583,054 ",5583054,$0.01 ,"616,080,458 DOCK *",616080458,"$6,185,358 ",-0.80%,-7.67%,-21.01%
643,suterusu,SUTER,"$5,511,088 ",5511088,$0.00 ,"1,373,040,783 SUTER *",1373040783,"$624,140 ",-6.62%,-6.49%,-14.32%
644,T.OS,TOSC,"$5,544,343 ",5544343,$0.01 ,"827,310,271 TOSC *",827310271,$889 ,8.10%,-6.26%,17.24%
645,CoinEx Token,CET,"$5,509,527 ",5509527,$0.01 ,"708,633,582 CET *",708633582,"$609,269 ",-0.74%,-1.37%,-0.17%
646,InflationCoin,IFLT,"$5,464,359 ",5464359,$0.00 ,"44,790,092,020 IFLT *",44790092020,$?,> 9000%,> 9000%,> 9000%
647,HUNT,HUNT,"$5,434,430 ",5434430,$0.05 ,"110,357,399 HUNT *",110357399,"$828,265 ",0.79%,-3.07%,-9.98%
648,Bitcoin 2,BTC2,"$5,442,102 ",5442102,$0.31 ,"17,356,434 BTC2 *",17356434,$167 ,-9.44%,-11.63%,-8.58%
649,SIRIN LABS Token,SRN,"$5,425,832 ",5425832,$0.01 ,"491,820,906 SRN *",491820906,"$244,821 ",0.89%,-1.78%,-4.33%
650,Genesis Vision,GVT,"$5,392,065 ",5392065,$1.22 ,"4,426,883 GVT *",4426883,"$228,512 ",0.39%,-4.03%,-4.06%
651,Aladdin,ADN,"$5,344,447 ",5344447,$0.00 ,"43,807,200,918 ADN *",43807200918,$?,1.84%,4.19%,6.71%
652,district0x,DNT,"$5,342,292 ",5342292,$0.01 ,"600,000,000 DNT *",600000000,"$255,006 ",2.72%,-2.38%,-0.89%
653,Veritaseum,VERI,"$5,336,867 ",5336867,$2.48 ,"2,149,646 VERI *",2149646,"$1,751 ",1.99%,4.06%,8.01%
654,PressOne,PRS,"$5,333,865 ",5333865,$0.02 ,"284,742,628 PRS *",284742628,"$70,013 ",1.83%,2.78%,5.52%
655,Lightning Bitcoin,LBTC,"$5,288,782 ",5288782,$1.37 ,"3,860,808 LBTC",3860808,"$329,760 ",17.36%,15.82%,5.33%
656,CryptoFranc,XCHF,"$5,255,730 ",5255730,$1.11 ,"4,726,000 XCHF *",4726000,"$2,140 ",1.68%,0.97%,0.87%
657,Grid+,GRID,"$5,250,155 ",5250155,$0.13 ,"39,236,491 GRID *",39236491,"$76,906 ",2.09%,-0.30%,-2.63%
658,Dero,DERO,"$5,205,951 ",5205951,$0.52 ,"10,099,841 DERO",10099841,"$454,528 ",0.46%,-1.10%,1.88%
659,ODEM,ODE,"$5,056,121 ",5056121,$0.02 ,"219,110,098 ODE *",219110098,"$69,997 ",-7.81%,-9.34%,1.95%
660,Monero Classic,XMC,"$5,184,865 ",5184865,$0.27 ,"19,176,436 XMC *",19176436,$715 ,7.63%,-9.45%,96.11%
661,Pluton,PLU,"$5,156,912 ",5156912,$6.05 ,"852,000 PLU *",852000,"$11,684 ",3.49%,-0.18%,-13.61%
662,Burst,BURST,"$5,145,072 ",5145072,$0.00 ,"2,106,896,492 BURST",2106896492,"$10,755 ",1.08%,-0.90%,-10.88%
663,GMB,GMB,"$5,134,163 ",5134163,$0.01 ,"517,356,899 GMB *",517356899,"$25,563 ",-0.04%,-0.23%,55.22%
664,PlayChip,PLA,"$5,127,919 ",5127919,$0.00 ,"14,009,105,693 PLA *",14009105693,$57 ,1.84%,3.84%,-29.15%
665,Bibox Token,BIX,"$5,098,376 ",5098376,$0.06 ,"87,533,664 BIX *",87533664,"$4,216,576 ",1.44%,-2.97%,-6.49%
666,Free Tool Box Coin,FTB,"$5,026,427 ",5026427,$0.01 ,"617,711,744 FTB *",617711744,"$58,895 ",0.19%,-2.39%,-34.00%
667,Origo,OGO,"$5,018,339 ",5018339,$0.01 ,"440,516,809 OGO *",440516809,"$784,096 ",2.41%,-2.52%,-5.96%
668,OneRoot Network,RNT,"$4,984,206 ",4984206,$0.02 ,"284,073,817 RNT *",284073817,"$798,865 ",0.15%,0.19%,-9.24%
669,Po.et,POE,"$4,982,824 ",4982824,$0.00 ,"3,141,592,653 POE *",3141592653,"$38,559 ",-5.41%,4.17%,-9.32%
670,GameCredits,GAME,"$4,931,357 ",4931357,$0.05 ,"99,439,177 GAME *",99439177,"$29,403 ",0.75%,-0.41%,-8.03%
671,Sentinel,SENT,"$4,922,544 ",4922544,$0.00 ,"1,999,969,999 SENT *",1999969999,"$18,879 ",1.29%,5.58%,14.01%
672,Telos,TLOS,"$4,859,057 ",4859057,$0.02 ,"270,123,444 TLOS *",270123444,"$23,938 ",2.58%,-4.88%,1.61%
673,Zano,ZANO,"$4,916,268 ",4916268,$0.48 ,"10,344,166 ZANO *",10344166,"$32,978 ",2.07%,-1.96%,42.70%
674,Metrix Coin,MRX,"$4,903,785 ",4903785,$0.00 ,"17,521,976,984 MRX",17521976984,"$2,110 ",5.95%,0.82%,-2.08%
675,XIO,XIO,"$4,904,453 ",4904453,$0.25 ,"19,277,533 XIO *",19277533,"$326,011 ",0.29%,6.43%,-9.78%
676,Beowulf,BWF,"$4,898,080 ",4898080,$0.02 ,"200,000,100 BWF *",200000100,"$20,884 ",-0.28%,-3.54%,-14.49%
677,Lamden,TAU,"$4,901,653 ",4901653,$0.03 ,"142,215,728 TAU *",142215728,"$189,349 ",1.22%,-0.18%,-24.86%
